Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response,Standard LTL,Standardized LTL,standard_ltl,LTL Formula
gemini-1.5-flash,zero_shot_self_refine,it is always the case that if x1 is false then x2 is false and if x2 is false then x1 is false. and eventually x1 and x2 are true,"x1 : x1 , x2 : x2",G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"```python
formulaToFind = LAnd(Always(LAnd(LImplies(LNot(AtomicProposition('x1')), LNot(AtomicProposition('x2'))), LImplies(LNot(AtomicProposition('x2')), LNot(AtomicProposition('x1'))))), Eventually(LAnd(AtomicProposition('x1'), AtomicProposition('x2'))))
```","formulaToFind = LAnd(Always(LAnd(LImplies(LNot(AtomicProposition('x1')), LNot(AtomicProposition('x2'))), LImplies(LNot(AtomicProposition('x2')), LNot(AtomicProposition('x1'))))), Eventually(LAnd(AtomicProposition('x1'), AtomicProposition('x2'))))","formulaToFind = LAnd(Always(LAnd(LImplies(LNot(AtomicProposition('x1')), LNot(AtomicProposition('x2'))), LImplies(LNot(AtomicProposition('x2')), LNot(AtomicProposition('x1'))))), Eventually(LAnd(AtomicProposition('x1'), AtomicProposition('x2'))))","ERROR: invalid syntax (<unknown>, line 1)",(G(((!(AtomicProposition('x1')) -> !(AtomicProposition('x2'))) & (!(AtomicProposition('x2')) -> !(AtomicProposition('x1'))))) & F((AtomicProposition('x1') & AtomicProposition('x2')))),(G(((!(x1) -> !(x2)) & (!(x2) -> !(x1)))) & F((x1 & x2)))
gemini-1.5-flash,zero_shot_self_refine,in the next state if x1 is true then in the state after the next state after the next state x2 is true,"x1 : x1 , x2 : x2",X(x1)->X(X(X(x2))),"```python
formulaToFind = LImplies(Next(AtomicProposition(name='x1')), Next(Next(Next(AtomicProposition(name='x2')))))
```","formulaToFind = LImplies(Next(AtomicProposition(name='x1')), Next(Next(Next(AtomicProposition(name='x2')))))","formulaToFind = LImplies(Next(AtomicProposition(name='x1')), Next(Next(Next(AtomicProposition(name='x2')))))","ERROR: invalid syntax (<unknown>, line 1)",(X(AtomicProposition(name='x1')) -> X(X(X(AtomicProposition(name='x2'))))),(X(x1) -> X(X(X(x2))))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that x1 is true and x2 is false and if x1 is true x2 cannot be true in the same state then it is always the case that x2 is false,"x1 : x1 , x2 : x2",G(x1 & !x2),"```python
formulaToFind = Always(LAnd(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), Always(LNot(AtomicProposition(""x2"")))))
```","formulaToFind = Always(LAnd(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), Always(LNot(AtomicProposition(""x2"")))))","formulaToFind = Always(LAnd(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), Always(LNot(AtomicProposition(""x2"")))))","ERROR: invalid syntax (<unknown>, line 1)","G(((AtomicProposition(""x1"") & !(AtomicProposition(""x2""))) & G(!(AtomicProposition(""x2"")))))",G(((x1 & !(x2)) & G(!(x2))))
gemini-1.5-flash,zero_shot_self_refine,eventually it is always the case that x1 is true or it is always the case that eventually x1 is true,x1 : x1,F(G(x1)) | G(F(x1)),"```python
formulaToFind = LOr(Eventually(Always(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))
```","formulaToFind = LOr(Eventually(Always(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))","formulaToFind = LOr(Eventually(Always(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","(F(G(AtomicProposition(""x1""))) | G(F(AtomicProposition(""x1""))))",(F(G(x1)) | G(F(x1)))
gemini-1.5-flash,zero_shot_self_refine,if x1 is true then eventually x1 is false and if x1 is false then eventually x1 is true,x1 : x1,x1 -> F(!x1) & !x1 -> F(x1),"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))), LImplies(LNot(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))))
```","formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))), LImplies(LNot(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))))","formulaToFind = LAnd(LImplies(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))), LImplies(LNot(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","((AtomicProposition(""x1"") -> F(!(AtomicProposition(""x1"")))) & (!(AtomicProposition(""x1"")) -> F(AtomicProposition(""x1""))))",((x1 -> F(!(x1))) & (!(x1) -> F(x1)))
gemini-1.5-flash,zero_shot_self_refine,x1 is true if and only if x2 is true until it is the case that x1 is until x3 is true,"x1 : x1 , x2 : x2, x3 : x3",(x1 <-> x2) U (x1 U x3),"```python
formulaToFind = LEquiv(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), Until(AtomicProposition(""x1""), AtomicProposition(""x3""))))
```","formulaToFind = LEquiv(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), Until(AtomicProposition(""x1""), AtomicProposition(""x3""))))","formulaToFind = LEquiv(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), Until(AtomicProposition(""x1""), AtomicProposition(""x3""))))","ERROR: invalid syntax (<unknown>, line 1)","LEquiv(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), Until(AtomicProposition(""x1""), AtomicProposition(""x3""))))",(x1 <-> (x2 U (x1 U x3)))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that x1 and x2 are false and it is always the case that x1 or x2 is true,"x1 : x1 , x2 : x2",G(!(x1 & x2)) & G(x1 | x2),"```python
formulaToFind = LAnd(Always(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2"")))), Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```","formulaToFind = LAnd(Always(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2"")))), Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))))","formulaToFind = LAnd(Always(LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2"")))), Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(G((!(AtomicProposition(""x1"")) & !(AtomicProposition(""x2"")))) & G((AtomicProposition(""x1"") | AtomicProposition(""x2""))))",(G((!(x1) & !(x2))) & G((x1 | x2)))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that x1 or x2 is true and in the next state it is always the case that x2 is true,"x1 : x1 , x2 : x2",G(x1 | x2) & X(G(x2)),"```python
formulaToFind = LAnd(Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), Next(Always(AtomicProposition(""x2""))))
```","formulaToFind = LAnd(Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), Next(Always(AtomicProposition(""x2""))))","formulaToFind = LAnd(Always(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), Next(Always(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(G((AtomicProposition(""x1"") | AtomicProposition(""x2""))) & X(G(AtomicProposition(""x2""))))",(G((x1 | x2)) & X(G(x2)))
gemini-1.5-flash,zero_shot_self_refine,if it is always the case that x1 is false and in the next state x1 is true then in the next state eventually x2 is true,"x1 : x1 , x2 : x2",G((!x1 & X(x1)) -> X(F(x2))),"```python
formulaToFind = LImplies(Always(LAnd(LNot(AtomicProposition(""x1"")), Next(AtomicProposition(""x1"")))), Next(Eventually(AtomicProposition(""x2""))))
```","formulaToFind = LImplies(Always(LAnd(LNot(AtomicProposition(""x1"")), Next(AtomicProposition(""x1"")))), Next(Eventually(AtomicProposition(""x2""))))","formulaToFind = LImplies(Always(LAnd(LNot(AtomicProposition(""x1"")), Next(AtomicProposition(""x1"")))), Next(Eventually(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(G((!(AtomicProposition(""x1"")) & X(AtomicProposition(""x1"")))) -> X(F(AtomicProposition(""x2""))))",(G((!(x1) & X(x1))) -> X(F(x2)))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that eventually x1 is true or eventually x2 is true,"x1 : x1 , x2 : x2",G(F(x1) | F(x2)),"```python
formulaToFind = Always(LOr(Eventually(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2""))))
```","formulaToFind = Always(LOr(Eventually(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2""))))","formulaToFind = Always(LOr(Eventually(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((F(AtomicProposition(""x1"")) | F(AtomicProposition(""x2""))))",G((F(x1) | F(x2)))
gemini-1.5-flash,zero_shot_self_refine,if x1 is true then in the next state x1 is false and eventually x2 is true,"x1 : x1 , x2 : x2",x1 -> X(!x1) & F(x2),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Eventually(AtomicProposition(""x2""))))
```","formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Eventually(AtomicProposition(""x2""))))","formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Eventually(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> (!(X(AtomicProposition(""x1""))) & F(AtomicProposition(""x2""))))",(x1 -> (!(X(x1)) & F(x2)))
gemini-1.5-flash,zero_shot_self_refine,if eventually x1 is true then it is always the case that x1 is true,x1 : x1,F(x1) -> G(x1),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(name='x1')), Always(AtomicProposition(name='x1')))
```","formulaToFind = LImplies(Eventually(AtomicProposition(name='x1')), Always(AtomicProposition(name='x1')))","formulaToFind = LImplies(Eventually(AtomicProposition(name='x1')), Always(AtomicProposition(name='x1')))","ERROR: invalid syntax (<unknown>, line 1)",(F(AtomicProposition(name='x1')) -> G(AtomicProposition(name='x1'))),(F(x1) -> G(x1))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that eventually if x1 is true then in the next state x2 is true until x3 is false,"x1 : x1 , x2 : x2, x3 : x3",G(F(x1 -> X(x2 U !x3))),"```python
formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))
```","formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))","formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))","ERROR: invalid syntax (<unknown>, line 1)","G(F((AtomicProposition(""x1"") -> (AtomicProposition(""x2"") U !(AtomicProposition(""x3""))))))",G(F((x1 -> (x2 U !(x3)))))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that eventually if x1 is true then x1 is false,x1 : x1,G(F(x1 -> !x1)),"```python
formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x1"")))))
```","formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x1"")))))","formulaToFind = Always(Eventually(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x1"")))))","ERROR: invalid syntax (<unknown>, line 1)","G(F((AtomicProposition(""x1"") -> !(AtomicProposition(""x1"")))))",G(F((x1 -> !(x1))))
gemini-1.5-flash,zero_shot_self_refine,it is always the case that eventually it is always the case that x1 is true and eventually it is always the case that eventually x2 is true,"x1 : x1 , x2 : x2",G(F(G(x1))) & F(G(F(x2))),"```python
formulaToFind = Always(Eventually(Always(LAnd(AtomicProposition(""x1""), Eventually(Always(Eventually(AtomicProposition(""x2""))))))))
```","formulaToFind = Always(Eventually(Always(LAnd(AtomicProposition(""x1""), Eventually(Always(Eventually(AtomicProposition(""x2""))))))))","formulaToFind = Always(Eventually(Always(LAnd(AtomicProposition(""x1""), Eventually(Always(Eventually(AtomicProposition(""x2""))))))))","ERROR: invalid syntax (<unknown>, line 1)","G(F(G((AtomicProposition(""x1"") & F(G(F(AtomicProposition(""x2""))))))))",G(F(G((x1 & F(G(F(x2)))))))
gemini-1.5-flash,zero_shot_self_refine,"if Red is initially lit, then it is also lit after three steps","“red"" : x1",x1 -> X(X(X(x1))),"```python
formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))
```","formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))","formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))","ERROR: invalid syntax (<unknown>, line 1)",(AtomicProposition(name='x1') -> X(X(X(AtomicProposition(name='x1'))))),(x1 -> X(X(X(x1))))
gemini-1.5-flash,zero_shot_self_refine,Red is lit after 3 or more steps,"“red"" : x1",X(X(F(X(x1)))),"```python
formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), LAnd(Next(Next(Next(AtomicProposition(""x1"")))),  Always(AtomicProposition(""x1""))))
```","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), LAnd(Next(Next(Next(AtomicProposition(""x1"")))),  Always(AtomicProposition(""x1""))))","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), LAnd(Next(Next(Next(AtomicProposition(""x1"")))), Always(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") & (X(X(X(AtomicProposition(""x1"")))) & G(AtomicProposition(""x1""))))",Error: Could not extract formula from response
gemini-1.5-flash,zero_shot_self_refine,if Red is eventually lit then Blue is always lit,"“red” : x1, “blue” : x2",F(x1) -> G(x2),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","(F(AtomicProposition(""x1"")) -> G(AtomicProposition(""x2"")))",(F(x1) -> G(x2))
gemini-1.5-flash,zero_shot_self_refine,"if Red is initially lit, then it is also lit after three steps",“red” : x1,x1 -> X(X(X(x1))),"```python
formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))
```","formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))","formulaToFind = LImplies(AtomicProposition(name='x1'), Next(Next(Next(AtomicProposition(name='x1')))))","ERROR: invalid syntax (<unknown>, line 1)",(AtomicProposition(name='x1') -> X(X(X(AtomicProposition(name='x1'))))),(x1 -> X(X(X(x1))))
gemini-1.5-flash,zero_shot_self_refine,Blue is eventually lit and Red is always lit,"“red” : x1, “blue” : x2",(x1 U x2) & G(x1),"```python
formulaToFind = LAnd(Eventually(AtomicProposition(name='x2')), Always(AtomicProposition(name='x1')))
```","formulaToFind = LAnd(Eventually(AtomicProposition(name='x2')), Always(AtomicProposition(name='x1')))","formulaToFind = LAnd(Eventually(AtomicProposition(name='x2')), Always(AtomicProposition(name='x1')))","ERROR: invalid syntax (<unknown>, line 1)",(F(AtomicProposition(name='x2')) & G(AtomicProposition(name='x1'))),(F(x2) & G(x1))
gemini-1.5-flash,zero_shot_self_refine,"whenever Red is lit, it turns off in the next state and on again in the state after that",“red” : x1,G(x1 -> (X(!x1) & X(X(x1)))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(Next(LNot(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(Next(LNot(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(Next(LNot(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (X(!(AtomicProposition(""x1""))) & X(X(AtomicProposition(""x1""))))))",G((x1 -> (X(!(x1)) & X(X(x1)))))
gemini-1.5-flash,zero_shot_self_refine,"If the engine is on, the engine will be on 3 states from now","""Engine on” : x1",x1 -> X(X(X(x1))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Next(Next(Next(AtomicProposition(""x1"")))))
```","formulaToFind = LImplies(AtomicProposition(""x1""), Next(Next(Next(AtomicProposition(""x1"")))))","formulaToFind = LImplies(AtomicProposition(""x1""), Next(Next(Next(AtomicProposition(""x1"")))))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> X(X(X(AtomicProposition(""x1"")))))",(x1 -> X(X(X(x1))))
gemini-1.5-flash,zero_shot_self_refine,"After two states have passed, eventually the Engine after these the next state will be on.","""Engine on” : x1",X(X(F(X(x1)))),"```python
formulaToFind = Eventually(LAnd(Next(Next(Literal(""True""))), Next(AtomicProposition(""x1""))))
```","formulaToFind = Eventually(LAnd(Next(Next(Literal(""True""))), Next(AtomicProposition(""x1""))))","formulaToFind = Eventually(LAnd(Next(Next(Literal(""True""))), Next(AtomicProposition(""x1""))))","ERROR: invalid syntax (<unknown>, line 1)","F((X(X(Literal(""True""))) & X(AtomicProposition(""x1""))))",F((X(X(True)) & X(x1)))
gemini-1.5-flash,zero_shot_self_refine,"If the engine eventually turns on, then the light is always on.","""Engine on” : x1, “blue"" : x2",(F(x1)) -> (G(x2)),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(name=""x1"")), Always(AtomicProposition(name=""x1"")))
```","formulaToFind = LImplies(Eventually(AtomicProposition(name=""x1"")), Always(AtomicProposition(name=""x1"")))","formulaToFind = LImplies(Eventually(AtomicProposition(name=""x1"")), Always(AtomicProposition(name=""x1"")))","ERROR: invalid syntax (<unknown>, line 1)","(F(AtomicProposition(name=""x1"")) -> G(AtomicProposition(name=""x1"")))",(F(x1) -> G(x1))
gemini-1.5-flash,zero_shot_self_refine,"the engine will be on until the light turns on, and the engine is always on","""Engine on” : x1, ""Light on” : x2",((x1) U (x2)) & G(x1),"```python
formulaToFind = LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")), Always(AtomicProposition(""x1"")))
```","formulaToFind = LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")), Always(AtomicProposition(""x1"")))","formulaToFind = LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")), Always(AtomicProposition(""x1"")))","ERROR: invalid syntax (<unknown>, line 1)","((AtomicProposition(""x1"") U AtomicProposition(""x2"")) & G(AtomicProposition(""x1"")))",((x1 U x2) & G(x1))
gemini-1.5-flash,zero_shot_self_refine,"If the engine is on, then in the next state the engine is not on and two states later it turns back on.","""Engine on” : x1",G(x1 -> (X(!x1 ) & X(X(x1)))),"```python
formulaToFind = LImplies(AtomicProposition(name='x1'), LAnd(LNot(Next(AtomicProposition(name='x1'))), Next(Next(Next(AtomicProposition(name='x1'))))))
```","formulaToFind = LImplies(AtomicProposition(name='x1'), LAnd(LNot(Next(AtomicProposition(name='x1'))), Next(Next(Next(AtomicProposition(name='x1'))))))","formulaToFind = LImplies(AtomicProposition(name='x1'), LAnd(LNot(Next(AtomicProposition(name='x1'))), Next(Next(Next(AtomicProposition(name='x1'))))))","ERROR: invalid syntax (<unknown>, line 1)",(AtomicProposition(name='x1') -> (!(X(AtomicProposition(name='x1'))) & X(X(X(AtomicProposition(name='x1')))))),(x1 -> (!(X(x1)) & X(X(X(x1)))))
gemini-1.5-flash,few_shot,it eventually holds that if x1 is true then x2 is true thereafter,"x1 : x1 , x2 : x2",F(x1 -> G(x2)),"```python
formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(Next(AtomicProposition(""x2"")))))
```","formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(Next(AtomicProposition(""x2"")))))","formulaToFind = Eventually(LImplies(AtomicProposition(""x1""), Always(Next(AtomicProposition(""x2"")))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") -> G(X(AtomicProposition(""x2"")))))",F((x1 -> G(X(x2))))
gemini-1.5-flash,few_shot,"whenever x1 is true, it becomes false in the next state and true again in the state after that",x1 : x1,G(x1 -> (X(!x1) & X(X(x1)))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), LAnd(LNot(Next(AtomicProposition(""x1""))), Next(Next(AtomicProposition(""x1""))))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (!(X(AtomicProposition(""x1""))) & X(X(AtomicProposition(""x1""))))))",G((x1 -> (!(X(x1)) & X(X(x1)))))
gemini-1.5-flash,few_shot,x1 is true sometime after 4 or more transitions,x1 : x1,X(X(X(X(F(x1))))),"```python
formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Next(Next(Next(AtomicProposition(""True"")))))))
```","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Next(Next(Next(AtomicProposition(""True"")))))))","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Next(Next(Next(Next(AtomicProposition(""True"")))))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") & X(X(X(X(AtomicProposition(""True"")))))))",F((x1 & X(X(X(X(True))))))
gemini-1.5-flash,few_shot,at some point x1 is true and x2 is false thereafter,"x1 : x1 , x2 : x2",F(x1 & G(X(!x2))),"```python
formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))
```","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))","formulaToFind = Eventually(LAnd(AtomicProposition(""x1""), Always(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))))","ERROR: invalid syntax (<unknown>, line 1)","F((AtomicProposition(""x1"") & G((AtomicProposition(""x1"") -> !(AtomicProposition(""x2""))))))",F((x1 & G((x1 -> !(x2)))))
gemini-1.5-flash,few_shot,"whenever x1 is true, x1 must be false in the future until x2 holds (and x2 will hold at some point in the future)","x1 : x1 , x2 : x2",G(x1 -> X(!x1 U x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (!(AtomicProposition(""x1"")) U AtomicProposition(""x2""))))",G((x1 -> (!(x1) U x2)))
gemini-1.5-flash,few_shot,x1 is true at some point and x2 is always false,"x1 : x1 , x2 : x2",F(x1) & G(!x2),"```python
formulaToFind = LAnd(Eventually(AtomicProposition(name='x1')), Always(LNot(AtomicProposition(name='x2'))))
```","formulaToFind = LAnd(Eventually(AtomicProposition(name='x1')), Always(LNot(AtomicProposition(name='x2'))))","formulaToFind = LAnd(Eventually(AtomicProposition(name='x1')), Always(LNot(AtomicProposition(name='x2'))))","ERROR: invalid syntax (<unknown>, line 1)",(F(AtomicProposition(name='x1')) & G(!(AtomicProposition(name='x2')))),(F(x1) & G(!(x2)))
gemini-1.5-flash,few_shot,"if x1 is ever true at some point, x2 must always be true","x1 : x1 , x2 : x2",F(x1) -> G(x2),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))
```","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")), Always(AtomicProposition(""x2"")))","ERROR: invalid syntax (<unknown>, line 1)","(F(AtomicProposition(""x1"")) -> G(AtomicProposition(""x2"")))",(F(x1) -> G(x2))
gemini-1.5-flash,few_shot,"whenever x1 is true, x2 will be true at some point in the future","x1 : x1 , x2 : x2",G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> F(AtomicProposition(""x2""))))",G((x1 -> F(x2)))
gemini-1.5-flash,few_shot,"Whenever x1 holds, it cannot hold again until x2 does","x1 : x1 , x2 : x2",G(x1 -> X(!x1 U x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> (!(AtomicProposition(""x1"")) U AtomicProposition(""x2""))))",G((x1 -> (!(x1) U x2)))
gemini-1.5-flash,few_shot,"If x1, then it is always the case that x2 is true until x3 is false.","x1 : x1 , x2 : x2 , x3 : x3",x1 -> G(x2 U !x3),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Always(Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3"")))))
```","formulaToFind = LImplies(AtomicProposition(""x1""), Always(Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3"")))))","formulaToFind = LImplies(AtomicProposition(""x1""), Always(Until(AtomicProposition(""x2""), LNot(AtomicProposition(""x3"")))))","ERROR: invalid syntax (<unknown>, line 1)","(AtomicProposition(""x1"") -> G((AtomicProposition(""x2"") U !(AtomicProposition(""x3"")))))",(x1 -> G((x2 U !(x3))))
gemini-1.5-flash,few_shot,"Every time x1 is true, eventually x2 is true or the next x3 is false","x1 : x1 , x2 : x2 , x3 : x3",G(x1 -> (F(x2) | X(!x3))),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(LOr(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))
```","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(LOr(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))","formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(LOr(AtomicProposition(""x2""), LNot(AtomicProposition(""x3""))))))","ERROR: invalid syntax (<unknown>, line 1)","G((AtomicProposition(""x1"") -> F((AtomicProposition(""x2"") | !(AtomicProposition(""x3""))))))",G((x1 -> F((x2 | !(x3)))))
