Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Initial Response,Refined Response,Estimated Cost
gemini-1.5-flash,zero_shot,"It had always been the case that if x1 had been true, then afterward x2 or x3 had been true; and that if x1 had been true, x2 or x3 had been false.","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x2 | x3)) & (x1 -> !(x2 | x3))),"```python
formulaToFind = LAnd(Historically(LImplies(AtomicProposition(""x1""), LOr(AtomicProposition(""x2""), AtomicProposition(""x3"")))), Historically(LImplies(AtomicProposition(""x1""), LNot(LOr(AtomicProposition(""x2""), AtomicProposition(""x3""))))))
```",,8098
gemini-1.5-flash,zero_shot,"If (x1 and x2) had been true at some point, then x1 had been false until it became true. Otherwise, if x2 had been true, x1 had eventually been true.","x1: x1, x2: x2",((Y(x1 & x2)) -> (!x1 S x1)) & ((Y(x2)) -> Y(x1)),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = LImplies(Once(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))), Historically(LNot(AtomicProposition(""x1""))))

traceGivenAsInput = [[(""x1"", False), (""x2"", True)], [(""x1"", True), (""x2"", False)]]

result = evalFormula(formulaToFind, traceGivenAsInput, len(traceGivenAsInput)-1)

if isinstance(result, Some) and result.value:
    print(""TRUE"")
else:
    print(""FALSE"")

```",,14722
gemini-1.5-flash,zero_shot,"It had always been the case that if x1 had been true, then in the previous state x1 had been false; and if x1 had been false, then in the previous state x1 had been true.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1))),"```python
formulaToFind = LAnd(Historically(LImplies(AtomicProposition(""x1""), LNot(Yesterday(AtomicProposition(""x1""))))), Historically(LImplies(LNot(AtomicProposition(""x1"")), Yesterday(AtomicProposition(""x1"")))))
```",,8073
gemini-1.5-flash,zero_shot,"If x1, x2 had eventually been true, then it had always been the case that if x1 had been true then x2 had been true, and vice versa.","x1: x1, x2: x2",(Y(x1 & x2)) -> H((x1 -> x2) & (x2 -> x1)),"```python
formulaToFind = LImplies(LAnd(Once(AtomicProposition(""x1"")), Once(AtomicProposition(""x2""))), Historically(LAnd(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2"")), LImplies(AtomicProposition(""x2""), AtomicProposition(""x1"")))))

```",,8074
gemini-1.5-flash,zero_shot,"x2 and x3 had become true in the same step, x1 had become true in the step after x2 had become true, x4 had been true until x1 had been true, and x2 had been true at some point.","x1: x1, x2: x2, x3: x3",(x2 & x3) & Y(x1 & Y(x2)) & (x4 S x1) & Y(x2),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

traceGivenAsInput = [([('x1', False), ('x2', True), ('x3', True)],),([('x1', True), ('x2', False), ('x3', False)],)]


formulaToFind = LAnd(LAnd(LAnd(LAnd(AtomicProposition('x2'), AtomicProposition('x3')), LAnd(Yesterday(AtomicProposition('x1')), AtomicProposition('x2'))), Historically(LImplies(AtomicProposition('x4'), AtomicProposition('x1')))), Once(AtomicProposition('x2')))
#formulaToFind = AtomicProposition('x1')

#Test the formula

result = evalFormula(formulaToFind, traceGivenAsInput, 0)

if isinstance(result, Some):
    print(""TRUE"" if result.value else ""FALSE"")
else:
    print(""Result is None"")

```",,14980
gemini-1.5-flash,zero_shot,"It had always been the case that if x2 had been true, then x1 had not been true at any point; and if x3 had been true, then x2 had not been true at any point.","x1: x1, x2: x2, x3: x3",H((x2 -> !Y(x1)) & (x3 -> !Y(x2))),"```python
formulaToFind = LAnd(Historically(LImplies(AtomicProposition(""x2""), LNot(AtomicProposition(""x1"")))), Historically(LImplies(AtomicProposition(""x3""), LNot(AtomicProposition(""x2"")))))
```",,8055
gemini-1.5-flash,zero_shot,"Eventually, it had always been the case that if x1 had been true, then in the two previous states x1 had been true and then false.",x1: x1,Y(H(x1 -> (Y(x1) & Y(Y(!x1))))),"```python
formulaToFind = Once(Historically(LImplies(Yesterday(AtomicProposition('x1')), LAnd(Yesterday(Yesterday(AtomicProposition('x1'))), LNot(Yesterday(Yesterday(Yesterday(AtomicProposition('x1'))))))))
```",,8027
gemini-1.5-flash,zero_shot,"If x1 had been true, then in the previous state x1 had been true, and the state before that as well.",x1: x1,x1 -> (Y(x1) & Y(Y(x1))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Yesterday(AtomicProposition(""x1"")), Yesterday(Yesterday(AtomicProposition(""x1"")))))
```",,7939
gemini-1.5-flash,zero_shot,Eventually x1 had been true if and only if x2 had been false in the previous state or x2 had always been true.,"x1: x1, x2: x2",Y(x1 <-> (Y(!x2) | H(x2))),"```python
formulaToFind = LEquiv(Once(AtomicProposition(name='x1')), LOr(Yesterday(LNot(AtomicProposition(name='x2'))), Historically(AtomicProposition(name='x2'))))
```",,7973
gemini-1.5-flash,zero_shot,"It had always been the case that if x1 had been true, then in the previous state x2 had been true and two steps back x3 had been false.","x1: x1, x2: x2, x3: x3",H(x1 -> (Y(x2) & Y(Y(!x3)))),"```python
formulaToFind = Historically(LImplies(Yesterday(AtomicProposition(name='x1')), LAnd(AtomicProposition(name='x2'), LNot(Yesterday(Yesterday(AtomicProposition(name='x3'))))))
```",,8024
gemini-1.5-flash,zero_shot,"It had always been the case that if x1 had been false, then x2 had been false, and if x2 had been false, then x1 had been false. Eventually, x1 and x2 had been true.","x1: x1, x2: x2",H((!x1 -> !x2) & (!x2 -> !x1)) & Y(x1 & x2),"```python
formulaToFind = LAnd(Historically(LImplies(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2"")))), LAnd(Historically(LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1"")))), Once(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))))
```",,8134
gemini-1.5-flash,zero_shot,"It had always been the case that x1 or x2 had been true, x1 had held until x2 had held, and x2 had held until x1 had held.","x1: x1, x2: x2",H(x1 | x2) & (x1 S x2) & (x2 S x1),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

formulaToFind = LAnd(Historically(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), LAnd(Since(AtomicProposition(""x1""), AtomicProposition(""x2"")), Since(AtomicProposition(""x2""), AtomicProposition(""x1""))))

traceGivenAsInput = [ [(""x1"", True), (""x2"", False)], [(""x1"", True), (""x2"", False)], [(""x1"", False), (""x2"", True)], [(""x1"", False), (""x2"", True)] ]

eval_result = evalFormula(formulaToFind, traceGivenAsInput, len(traceGivenAsInput)-1)

if isinstance(eval_result, Some) and eval_result.value:
    print(""TRUE"")
else:
    print(""FALSE"")

```",,14852
gemini-1.5-flash,zero_shot,"It had always been the case that if x1 had been true, then x2 and x3 had been false, and if x2 or x3 had been true, then x1 had been false.","x1: x1, x2: x2, x3: x3",H((x1 -> !x2 & !x3) & ((x2 | x3) -> !x1)),"```python
formulaToFind = Historically(LImplies(Yesterday(AtomicProposition(name='x1')), LAnd(LNot(Yesterday(AtomicProposition(name='x2'))), LNot(Yesterday(AtomicProposition(name='x3'))))))
```",,8035
gemini-1.5-flash,zero_shot,It had always been the case that x1 had been true and x2 had been true until x1 had been true and then x2 had remained true.,"x1: x1, x2: x2",H(x1) & (x2 S x1) & H(x2),"```python
from dataclasses import dataclass
from typing import *

class Formula:
    pass

@dataclass
class AtomicProposition(Formula):
    name : str

@dataclass
class Literal(Formula):
    name : str

@dataclass
class LNot(Formula):
    Formula: Formula

@dataclass
class LAnd(Formula):
    left: Formula
    right: Formula

@dataclass
class LOr(Formula):
    left: Formula
    right: Formula

@dataclass
class LImplies(Formula):
    left: Formula
    right: Formula

@dataclass
class LEquiv(Formula):
    left: Formula
    right: Formula    

@dataclass
class Since(Formula):
    a : Formula
    b : Formula

@dataclass
class Once(Formula):
    Formula: Formula

@dataclass
class Historically(Formula):
    Formula: Formula

@dataclass
class Yesterday(Formula):
    Formula: Formula


FormulaType = Union[AtomicProposition, Literal, LNot, LAnd, LOr, LImplies, LEquiv, Since, Once, Historically, Yesterday]    

type varToValMapping = tuple[str, bool]
type state = list[varToValMapping]
type trace = list[state]

class OptionType:
    pass

@dataclass
class ReallyNone(OptionType):
    pass

@dataclass
class Some(OptionType):
    value: bool

myOptionType = Union[ReallyNone, Some]  

def isPropositionTrueInTracePosition(p : AtomicProposition, t: trace, pos: int) -> myOptionType:
    if pos < 0 or pos >= len(t):
        return ReallyNone()
    state_at_pos = t[pos]
    for var, val in state_at_pos:
        if var == p.name:
            return Some(val)
    return ReallyNone()

def evalFormula(f : Formula, t: trace, pos: int) -> myOptionType:
    match f:
        case AtomicProposition(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            return isPropositionTrueInTracePosition(f, t, pos)
        case Literal(name):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if name == ""True"":
                return Some(True)
            elif name == ""False"":
                return Some(False)
            else:
                return ReallyNone()
        case LNot(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            inner_eval = evalFormula(inner, t, pos)
            match inner_eval:
                case Some(val):
                    return Some(not val)
                case ReallyNone():
                    return ReallyNone()
        case LAnd(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval and rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LOr(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LImplies(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some((not lval) or rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case LEquiv(left, right):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            left_eval = evalFormula(left, t, pos)
            right_eval = evalFormula(right, t, pos)
            match left_eval, right_eval:
                case (Some(lval), Some(rval)):
                    return Some(lval == rval)
                case (ReallyNone(), _):
                    return ReallyNone()
                case (_, ReallyNone()):
                    return ReallyNone()
        case Since(a, b):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            foundB = False
            i = pos
            while i >= 0 :
                eval_result = evalFormula(b, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    foundB = True
                    break
                i -= 1
            if not foundB:
                return Some(False)
            j = i + 1
            while j <= pos:  
                eval_result = evalFormula(a, t, j)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
                j += 1      
            return Some(True)    
        case Once(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and eval_result.value:
                    return Some(True)
            return Some(False)
        case Historically(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            for i in range(0, pos+1):
                eval_result = evalFormula(inner, t, i)
                if isinstance(eval_result, ReallyNone):
                    return ReallyNone()
                if isinstance(eval_result, Some) and not eval_result.value:
                    return Some(False)
            return Some(True)
        case Yesterday(inner):
            if pos < 0 or pos >= len(t):
                return ReallyNone()
            if pos >= 1:
                return evalFormula(inner, t, pos - 1)
            else:
                return Some(False)
        case _:
            return ReallyNone()

traceGivenAsInput = [([('x1', True), ('x2', True)],), ([('x1', True), ('x2', True)],), ([('x1', True), ('x2', True)],)]


formulaToFind = Historically(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))

eval_result = evalFormula(formulaToFind, traceGivenAsInput, len(traceGivenAsInput)-1)
print(""TRUE"" if isinstance(eval_result, Some) and eval_result.value else ""FALSE"")
```",,14684
gemini-1.5-flash,zero_shot,x1 started true and was true exactly every third state,x1: x1,x1 & H((x1 -> Y(Y(Y(x1)))) & (!x1 -> (!Y(x1) & !Y(Y(x1))))),"```python
formulaToFind = LAnd(Historically(LImplies(AtomicProposition('x1'), Yesterday(Yesterday(Yesterday(AtomicProposition('x1')))))), Once(AtomicProposition('x1')))
```",,7913
gemini-1.5-flash,zero_shot,"It was never the case that if x1 was true then x2 and x3 were not true, but only after x4 was true (which happened).","x1: x1, x2: x2, x3: x3, x4: x4",O(x4) & H(x1 -> (O(x4) -> (x2 & x3))),"```python
formulaToFind = LNot(Historically(LImplies(AtomicProposition(""x1""), LNot(LAnd(AtomicProposition(""x2""), AtomicProposition(""x3""))))))
```",,7972
