Natural Language,Ground Truth,claude-3.5-sonnet_few_shot,claude-3.5-sonnet_zero_shot,claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot,gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot,gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine
"If the pressurizer water level rises above l0, then the reactor shall be tripped (i.e., shut down) on the next cycle at latest.",G(x1 -> (X(x2) |x2)),G((x1 -> (X(x2) | x2))),G((x1 -> (x2 | X(x2)))),G((x1 -> (X(x2) | X(X(x2))))),(x1 -> X(x2)),(x1 -> X(x2)),(x1 -> X(x2)),(x1 -> X(x2)),(x1 -> X(x2)),(x1 -> X(x2)),(x1 -> (x2 | X(x2))),(x1 -> (x2 | X(x2))),(x1 -> (x2 | X(x2)))
There is at most one rising edge for each output pulse,G(x2 -> (x1 & X(G(!x1)))),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,G((x2 -> (F(x1) -> !(F((x1 & X(x1))))))),G((x2 -> (F(x1) -> !(F((x1 & X(x1))))))),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,G((x2 -> !(F((x1 & F(x1)))))),Error: Could not extract formula from response,!(F((x2 & (x1 & (x2 U (x1 & x2))))))
"If steam pressures in either of the steam generators exceed the mean pressure by Δp and emergency feedwater lines are not closed, then the corresponding valve closing signals shall be generated",G((x1 & !x2) -> x3),G(((x1 & !(x2)) -> x3)),G(((x1 & !(x2)) -> x3)),G(((x1 & !(x2)) -> x3)),((x1 | x1) -> (!(x2) & x3)),((x1 | x1) -> (!(x2) & x3)),((x1 | x1) -> (!(x2) & x3)),G((((x1 | x1) & !(x2)) -> x3)),G((((x1 | x1) & !(x2)) -> x3)),G((((x1 | x1) & !(x2)) -> x3)),G(((x1 & !(x2)) -> x3)),G(((x1 & !(x2)) -> x3)),G(((x1 & !(x2)) -> x3))
"In the next moment in time, 'running' will be true and, at some time after that, 'terminated' will be true",X(x1 & F(x2)),(X(x1) & X(F(x2))),X((x1 & F(x2))),(X(x1) & X(F(x2))),(X(x1) & F(x2)),(X(x1) & F(x2)),(X(x1) & F(x2)),(X(x1) & F(X(x2))),(X(x1) & F(x2)),(X(x1) & F(X(x2))),X((x1 & F(x2))),X((x1 & F(x2))),X((x1 & F(x2)))
"There is a moment in the future where either 'pink' is always true, or 'brown' is true in the next moment in time.",F(G(x1) | X(x2)),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2))),F((G(x1) | X(x2)))
"If a message is sent to a receiver, then the message will eventually be received",G(x1 -> F(x2)),G((x1 -> F(x2))),G((x1 -> F(x2))),G((x1 -> F(x2))),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2))
"Whenever the document has been printed, the system will never try to print it",G(x1 -> G(!x2)),(x1 -> G(!(x2))),G((x1 -> G(!(x2)))),G((x1 -> G(!(x2)))),(F(x1) -> G(!(x2))),(x1 -> G(!(x2))),(F(x1) -> G(!(x2))),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,G((x1 -> G(!(x2)))),G((O(x1) -> G(!(x2)))),G((x1 -> G(!(x2))))
"It is always the case that, if either have_passport or have_ticket is false, then, in the next moment in time board_fight will also be false",G((!x1 | !x2) -> X !x3),G(((!(x1) | !(x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> !(X(x3)))),G(((!(x1) | !(x2)) -> !(X(x3)))),G(((!(x1) | !(x2)) -> !(X(x3)))),G((!((x1 | x2)) -> X(!(x3)))),G((!((x1 | x2)) -> X(!(x3)))),G((!((x1 | x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> X(!(x3)))),G(((!(x1) | !(x2)) -> X(!(x3))))
"If something is born, then it is living up until the point in time that it becomes dead",G(x1 -> (x2 U x3)),G((x1 -> (x2 U x3))),G((x1 -> (x2 U x3))),G((x1 -> (x2 U x3))),(F(x1) -> (x2 U x3)),(F(x1) -> (x2 U x3)),(F(x1) -> (x2 U x3)),(x1 -> (x2 U x3)),(x1 -> (x2 U x3)),(x1 -> (x2 U x3)),(x1 -> (x2 U x3)),(x1 -> (x2 U x3)),(x1 -> (x2 U x3))
"Eventually, it will stop trying to print the document",F(G(!x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1)),F(!(x1))
"Whenever we try to print a document then, at the next moment in time, either the document will be printed or we again try to print it",G(x2 -> X(x1 | x2)),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> (x1 | X(x2)))),G((x2 -> (x1 | X(x2)))),G((x2 -> (x1 | X(x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2)))),G((x2 -> X((x1 | x2))))
Whenever we try to print a document then at some future moment we will not try to print it,G (x1 -> F !x1),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1)))),G((x1 -> F(!(x1))))
"If it is Tuesday and we are in Liverpool, then it is raining",G((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3),((x1 & x2) -> x3)
"If it is Tuesday, then it will continue raining while we remain in Liverpool",G(x1 -> (x3 U !x2)),(x1 -> (x3 U !(x2))),(x1 -> (x3 U !(x2))),(x1 -> (x3 U x2)),(x1 -> ((x3 & x2) U False)),(x1 -> (x2 & G(x3))),(x1 -> (x2 & (x3 U x2))),(x1 -> (x3 U !(x2))),(x1 -> (x3 U x2)),(x1 -> (x3 U x2)),(x1 -> G((x2 -> x3))),(x1 -> G((x2 -> x3))),(x1 -> G((x2 -> x3)))
"Eventually, printing will be allowed for some process",F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1),F(x1)
Printing for processes 'a' and 'b' can never occur simultaneously,G!(x1 & x2),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2)))
"If a process makes a print request infinitely often, then printing for that process will occur infinitely often",G(F(x1))-> G(F(x2)),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2)))
If it is always dark then it is not the case that it is sometimes light,G(x1 -> !F(x2)),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2))),(G(x1) -> !(F(x2)))
"If it is always the case that when it rains it pours then, if it always rains, it always pours.",G(x1 -> x2) -> (G(x1) -> G(x2)),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),((G((x1 -> x2)) -> G(x1)) -> G(x2)),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2))),(G((x1 -> x2)) -> (G(x1) -> G(x2)))
"If, from the beginning, the sky is always pink, then the sky will be pink whenever it is examined in the future.",G(x1 -> G (x2 -> x1),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(G(x1) -> G((x2 -> x1))),(x1 -> G((x2 -> x1))),(H(x1) -> G((x2 -> x1)))
"If, whenever I am happy, I will certainly be happy on the next day, then, if I am happy now, then I will always be happy in the future.",G (x1 -> X(x1)) -> (x1 -> G(x1)),(G((x1 -> X(x1))) -> (x1 -> G(x1))),(G((x1 -> X(x1))) -> (x1 -> G(x1))),(G((x1 -> X(x1))) -> (x1 -> G(x1))),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> G(x1)),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True),((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True),(G((x1 -> X(x1))) -> (x1 -> G(x1))),(G((x1 -> X(x1))) -> (x1 -> G(x1))),(G((x1 -> X(x1))) -> (x1 -> G(x1)))
"If we attempt something infinitely often, then we will succeed infinitely often",G(F(x1)) -> G(F(x2)),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2)))
"If we attempt something infinitely often, then we will succeed at least once",G(F(x1 -> F(x2))),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(x1) -> F(x2)),(G(F(x1)) -> F(x2)),(G(x1) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2)),(G(F(x1)) -> F(x2))
"If we attempt something continuously, then we will succeed infinitely often",G(x1-> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2))),(G(x1) -> G(F(x2)))
"tomorrow I will be both happy and hungry if, and only if, both tomorrow I will be happy and tomorrow I will hungry.",X(x1 & x2) <-> (X(x1) & X(x2)),(X((x1 & x2)) <-> (X(x1) & X(x2))),(X((x1 & x2)) <-> (X(x1) & X(x2))),(X((x1 & x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),((X(x1) & X(x2)) <-> (X(x1) & X(x2))),(X((x1 & x2)) <-> (X(x1) & X(x2))),(X((x1 & x2)) <-> (X(x1) & X(x2))),(X((x1 & x2)) <-> (X(x1) & X(x2)))
"If we attempt something continuously, then we will succeed at least once",G(x1 -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2)),(G(x1) -> F(x2))
It never happens that a train is arriving and the bar is up,G(!(x1 & x2)),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),!(F((x1 & x2))),!(F((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2))),G(!((x1 & x2)))
Infinitely often send,G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1)),G(F(x1))
"If input, then eventually output",G(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2)),(x1 -> F(x2))
The device is not working if you don’t first repair it,G (!x2 -> !x1),(x1 -> O(x2)),G((x1 -> O(x2))),G((x1 -> O(x2))),(!(F(x2)) -> !(x1)),(!(F(x2)) -> !(G(x1))),(!(F(x2)) -> !(G(x1))),(!(x2) -> !(x1)),(!(x2) -> !(x1)),(!(x2) -> !(x1)),(G(!(x2)) -> !(x1)),(!(O(x2)) -> !(x1)),G((x1 -> O(x2)))
"If I am sleeping from now up until the time the alarm goes off and continue sleeping up until my doorbell rings, then I am sleeping from now up until the time my doorbell rings",((x1 U x2) & (x1 U x3)) -> (x1 U x3),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),(((x1 U x2) & (x1 U x3)) -> (x1 U x3)),((x1 U (x2 & (x1 U x3))) -> (x1 U x3)),((x1 U (x2 & (x1 U x3))) -> (x1 U x3)),((x1 U (x2 & (x1 U x3))) -> (x1 U x3))
"If Oswald hadn't killed Kennedy, someone else would have.",!x1 -> x2,(!(x1) -> x2),(!(x1) -> F(x2)),(!(x1) -> F(x2)),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> F(x2)),(!(x1) -> F(x2)),(!(x1) -> F(x2)),(!(x1) -> F(x2)),(!(x1) -> F(x2)),(!(x1) -> F(x2))
"I'll have a second cup, so I'll die before noon if I don't.",x1 -> (!x1 -> x2),(F(x1) & (!(x1) -> F(x2))),(x1 -> F(x2)),(x1 -> (!(x1) -> F(x2))),((x1 & !(x2)) -> x2),((x1 & !(x2)) -> x2),((x1 & !(x2)) -> F(x2)),(x1 -> (!(x2) | F(x2))),(x1 -> (!(x2) | F(x2))),(x1 -> (!(x2) | F(x2))),(F(x1) | F(x2)),(!(F(x1)) -> F(x2)),(x1 & (!(x1) -> x2))
Infinitely often send implies infinitely often recv.,G(F(x1)) -> G(F(x2)),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2))),(G(F(x1)) -> G(F(x2)))
"I can't die before noon, for it's false that if I don't have a second cup I'll die before noon.",!x2 & !(!x1 -> x2),Error: Could not extract formula from response,(!(x2) & !((!(x1) -> x2))),(!(x2) & !((!(x1) -> x2))),!((!(x1) -> x2)),!((!(x1) -> x2)),!((!(x1) -> x2)),!((!(x1) -> F(x2))),!((!(x1) -> F(x2))),!((!(x1) -> F(x2))),(!((!(x1) -> x2)) -> !(x2)),(!(x2) & !((!(x1) -> x2))),(!((!(x1) -> x2)) -> !(x2))
"If Oswald didn't kill Kennedy, someone else did.",!x1 -> x2,(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2),(!(x1) -> x2)
Only if Henry is home is Min home.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),G((x1 -> x2)),(x1 -> x2)
Min is home only if Henry is.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
If Min is home then Henry is.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
Any time Min is home is a time Henry is home.,G (x1 -> x2),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2)),G((x1 -> x2))
If Min is home now then Henry is home now.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
Henry is home if Min is.,x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
"If Min is home, Henry is.",x1 -> x2,G((x1 -> x2)),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
"If Min works on board that leaky tub, she's underpaid.",x1 -> x2,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
"Min's home if Henry is, but he isn't, so she isn't.",(x2 -> x1) & !x2 -> !x1,(((x2 -> x1) & !(x2)) & !(x1)),(((x2 -> x1) & !(x2)) & !(x1)),(((x2 -> x1) & !(x2)) & !(x1)),((x2 & x1) -> !(x1)),((x2 & x1) -> !(x1)),((x2 & x1) -> !(x1)),((x2 -> x1) & (!(x2) & !(x1))),((x2 -> x1) & (!(x2) & !(x1))),((x2 -> x1) & (!(x2) & !(x1))),(((x2 -> x1) & !(x2)) -> !(x1)),((x2 -> x1) & (!(x2) & !(x1))),(((x2 -> x1) & !(x2)) -> !(x1))
"It's false that if Min is home, she's on board. Then if she's home, she's not on board.",!(x1 -> x2) -> (x1 -> !x2),(!((x1 -> x2)) & X((x1 -> !(x2)))),(!((x1 -> x2)) & X((x1 -> !(x2)))),(!((x1 -> x2)) & X((x1 -> !(x2)))),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) -> (x1 -> !(x2))),(!((x1 -> x2)) -> (x1 -> !(x2))),(!((x1 -> x2)) -> (x1 -> !(x2))),(!((x1 -> x2)) -> (x1 -> !(x2))),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) -> (x1 -> !(x2)))
"It's false that if Min is home, she's on board, because if she's home, she's not on board.",!(x1 -> x2) & (x1 -> !x2),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) & (x1 -> !(x2))),(!((x1 -> x2)) & (x1 -> !(x2))),!((x1 -> x2)),!((x1 -> x2)),!((x1 -> x2)),!((x1 -> x2)),!((x1 -> x2)),!((x1 -> x2)),(!((x1 -> x2)) & (x1 -> !(x2))),((x1 -> !(x2)) -> !((x1 -> x2))),(!((x1 -> x2)) & (x1 -> !(x2)))
Henry is home given that Min is.,x1 -> x2,(x1 -> x2),(x1 -> x2),Error: Could not extract formula from response,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2)
Min is home given that Henry is.,x2 -> x1,(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1),(x2 -> x1)
"Look, we know that Min is on board if Henry is home. Then she has to be on board if she's home, because Henry's home if she is.",(X3 -> x2) & (x1 -> x3) -> (x1 -> x2),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,((x3 & x1) -> x2),((x3 -> x2) & (x1 -> x2)),((x3 & (x3 -> x2)) -> (x1 -> x2)),Error: Could not extract formula from response,Error: Could not extract formula from response,Error: Could not extract formula from response,(G((x3 -> x2)) -> G(((x1 -> x3) -> (x1 -> x2)))),G(((x3 -> x2) & ((x1 -> x2) & (x1 -> x3)))),((x3 -> x2) -> ((x1 -> x3) -> G((x1 -> x2))))
Either min is home or she and Hen are not both home ,X1 | !(x1 & x2),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2))),(x1 | !((x1 & x2)))
Both Min and Henry are home given that at least one is.,(x1 ∨ x2) -> (x1 ∧ x2),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2)),((x1 | x2) -> (x1 & x2))
Max is home if and only if Claire is at the library,x1 <-> x2,(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2),(x1 <-> x2)
Either min is home or she and Hen are both not home ,X1 | (!x1 & !x2),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x2) & !(x1))),(x1 | (!(x2) & !(x1))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2))),(x1 | (!(x1) & !(x2)))
Both Min and Henry are home given that exactly one is.,((x1 & !x2) | (!x1 & x2)) -> (x1 & x2),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) <-> (!(x1) & x2)) -> (x1 & x2)),((x1 & x2) & (((x1 & !(x2)) | (!(x1) & x2)) <-> True)),((x1 & x2) & (((x1 & !(x2)) | (!(x1) & x2)) <-> True)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2)),(((x1 & !(x2)) | (x2 & !(x1))) -> (x1 & x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2))
Claire is at the library unless Max is home,x2 <-> !x1,(x2 | x1),(x2 | x1),Error: Could not extract formula from response,(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),(x1 -> x2),((x2 U x1) | G(x2)),((x2 U x1) | G(x2)),((x2 U x1) | G(x2))
Exactly one in home given that at least one is.,(x1 | x2) -> ((x1 & !x2) | (!x1 & x2)),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2))),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2))),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2))),(((x1 | x2) -> ((x1 & !(x2)) <-> ((!(x1) & x2) | (x1 & x2)))) & (x1 | x2)),(((x1 | x2) -> ((x1 & !(x2)) <-> ((!(x1) & x2) | (x1 & x2)))) & (x1 | x2)),(((x1 | x2) -> ((x1 & !(x2)) <-> ((x1 & !(x2)) | (!(x1) & x2)))) & ((x1 & !(x2)) | (!(x1) & x2))),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 | x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 | x2)),(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 | x2)),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2))),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2))),((x1 | x2) -> ((x1 & !(x2)) | (!(x1) & x2)))
"Max fed Folly at 2:00 pm, but if he gave her to Claire then, Folly was not hungry five minutes later.",x1 ∧ (x2 -> !x3),(x1 & (x2 -> X(x3))),(x1 & (x2 -> x3)),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(X(X(X(X(x3))))))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(X(X(X(X(x3))))))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(x3))),(x1 & (x2 -> X(x3)))
