Model,Approach,Natural Language,Atomic Proposition,Ground Truth,Generated Response,LLM Response
gemini-1.5-pro,few_shot,A requested floor will be served sometime,“Requested floor” : x1 ; “served floor” : x2,G(x1 -> F(x2)),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,few_shot,User 1 and 2 must strictly alternate in printing,“User1 prints” : x1 ; “User2 prints” : x2,G(x1 -> X(x2)) & G(x2 -> X(x1)),"```python
formulaToFind = Always(LOr(LAnd(x1, Next(LNot(x1))), LAnd(LNot(x1), Next(x1))))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,Floor 0 door is never open if the elevator is not present at floor 0,“Open door of floor 0” : x1 ; “Elevator at floor 0” : x2,G(!x2->!x1),"```python
formulaToFind = Always(LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1""))))
```",G((!(x2) -> !(x1)))
gemini-1.5-pro,few_shot,Again and again the elevator returns to floor 0,“Elevator At floor 0” : x1,G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,few_shot,"if all reliable processes have the same initial value, then their final value is the same as their common initial value.","""All reliable processes have the same initial value” : x1 ; ”All reliable processes have the same final value, which is equal to the initial value” : x2",G (x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,"When the top floor is requested, the elevator serves it immediately and does not stop on the way there.",“Requested at Top Floor” : x1 ; “Served at Top Floor” : x2 ; “Stops Until Top Floor” : x3,G(x1->X(x2 & G(!x3))),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LAnd(Next(AtomicProposition(""x2"")), LNot(Until(AtomicProposition(""x1""), AtomicProposition(""x3"")))))
```",(x1 -> (X(x2) & !((x1 U x3))))
gemini-1.5-pro,few_shot,"Whenever some process is in the inner sanctum, no process is at location l4.",“Process In Inner Sanctum” x1 ; “Process At l4“ : x2,G(x1 -> !x2),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))
```",G((x1 -> !(x2)))
gemini-1.5-pro,few_shot,"at the next time where x1 holds, x2 also holds",x1 : x1 ; x2 : x2,G(x1->X(x2)),"```python
formulaToFind = Always(LImplies(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",G((X(x1) -> X(x2)))
gemini-1.5-pro,few_shot,x2 holds as least as long as x1 does.,x1 : x1 ; x2 : x2,G (x1 -> (x1 U (!x1 | x2))),"```python
formulaToFind = Always(LImplies(x1, x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,"if x1 holds sometime, x2 does so before",x1 : x1 ; x2 : x2,F(x1) -> (!x1 U x2),"```python
formulaToFind = LImplies(Eventually(AtomicProposition(""x1"")),Until(LNot(AtomicProposition(""x2"")), AtomicProposition(""x1"")))
```",(F(x1) -> (!(x2) U x1))
gemini-1.5-pro,few_shot,the traffic light is infinitely often green,"""The light is green” : x1",G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,few_shot,each red light phase is preceded by a yellow light phase,"""The light is red” : x1 ; ”The light is yellow” : x2",G (x1 -> Y(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Once(AtomicProposition(""x2""))))
```",G((x1 -> O(x2)))
gemini-1.5-pro,few_shot,Possibly the system never goes down,"""The system is down” : x1",F(G(!x1)),"```python
formulaToFind = Eventually(LNot(AtomicProposition(""x1"")))
```",F(!(x1))
gemini-1.5-pro,few_shot,every request will eventually be granted,"“A request is made” : x1 ; ""The request is granted” : x2",G (x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,few_shot,Invariantly the system never goes down,"""The system is down” : x1",G(!x1),"```python
formulaToFind = Always(LNot(AtomicProposition(""x1"")))
```",G(!(x1))
gemini-1.5-pro,few_shot,It is always possible to start as new,"""The system can start as new” : x1",G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,few_shot,The elevator only services the requested floors and does not move when there is no request.,"""The elevator is moving” : x1 ; ""A floor is requested” : x2 ; ""The elevator is servicing a requested floor” : x3",G (x1 -> x3) & G (!x2 -> !x1),"```python
formulaToFind = Always(LEquiv(x1, x2))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,The system always eventually goes down and is operational until going down,"""The system is down” : x1",G(F(x1)) & G (!x1 U x1),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,few_shot,a floor door is never open if the cabin is not present at the given floor. ,"""The door at floor i is open” : x1 ; ”The cabin is at floor i” : x2",G(!x2 -> !x1 ),"```python
formulaToFind = Always(LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1""))))
```",G((!(x2) -> !(x1)))
gemini-1.5-pro,few_shot,"Each time a button is pressed, there is a corresponding request that needs to be memorized until fulfillment ","""A button is pressed” : x1 ; ""The corresponding request is memorized” : x2 ; ""The request is fulfilled” : x3",G (x1 -> (x2 U x3)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), AtomicProposition(""x3""))))
```",G((x1 -> (x2 U x3)))
gemini-1.5-pro,few_shot,A rising edge at the inputs leads to an output pulse,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(x1, Eventually(x2)))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,All requests are eventually satisfied,"""A request is made” : x1 ;  ""The request is satisfied” : x2",G(x1 -> F(x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2""))))
```",G((x1 -> F(x2)))
gemini-1.5-pro,few_shot,There is at most one output pulse for each rising edge.,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x1 -> (x2 & X(G!(x2)))),"```python
formulaToFind = Always(LImplies(x1, LNot(Until(LNot(x2), LAnd(x2, Until(LNot(x2), LAnd(x2, Always(LNot(x2))))))))))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,If a cancel request is sent to the bank by the customer then the bank restores the money to the customers account ,"""A cancel request has been sent” : x1 ; ”The bank restores the money to the customer's account” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,few_shot,It is not the case that John is home,"""John is home” : x1",!x1,"```python
formulaToFind = LNot(AtomicProposition(""x1""))
```",!(x1)
gemini-1.5-pro,few_shot,There is at most one rising edge for each output pulse,"""A rising edge occurs at the inputs” : x1 ; ”An output pulse occurs” : x2",G(x2 -> (x1 & X(G(!x1)))),"```python
formulaToFind = Always(LImplies(LAnd(AtomicProposition(""x2""), Next(LNot(AtomicProposition(""x2"")))), Always(LNot(LAnd(AtomicProposition(""x1""), Next(LNot(AtomicProposition(""x1"")))))))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,The bank has issued the money but has not been requested either to redeem it or cancel,"""The bank has issued the money” : x1 ; ""A redeem request has been sent” : x2 ; ""A cancel request has been sent” : x3",x1 & G (!x2 & !x3),"```python
formulaToFind = LAnd(AtomicProposition(""x1""), LNot(LOr(AtomicProposition(""x2""), AtomicProposition(""x3""))))
```",(x1 & !((x2 | x3)))
gemini-1.5-pro,few_shot,"If the pressurizer water level rises above l0, then the reactor shall be tripped (i.e., shut down) on the next cycle at latest.","""The pressurizer water level rises above l0” : x1 ; “The reactor is tripped” : x2",G(x1 -> (X(x2) |x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Next(AtomicProposition(""x2"")))
```",(x1 -> X(x2))
gemini-1.5-pro,few_shot,"In the second moment in time, hot will be true.","""Hot is true” : x1",X(X(x1),"```python
formulaToFind = Next(Next(AtomicProposition(""x1"")))
```",X(X(x1))
gemini-1.5-pro,few_shot,"Whenever Rsp(p) is enabled, Do(p) can never become enabled unless a Rsp(p) step eventually occurs.","""Rsp(p) is enabled” : x1 ; “Do(p) is enabled” : x2 ; ""An Rsp(p) step occurs” : x3",G(x1 -> G(x2 -> F(x3))),"```python
formulaToFind = Always(LImplies(x1, Until(LNot(x2), Eventually(x3))))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,"There is a moment in the future where either 'pink' is always true, or 'brown' is true in the next moment in time.","""Pink is true” : x1 ;  ""Brown is true” : x2",F(G(x1) | X(x2)),"```python
formulaToFind = Eventually(LOr(Always(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",F((G(x1) | X(x2)))
gemini-1.5-pro,few_shot,"If steam pressures in either of the steam generators exceed the mean pressure by Δp and emergency feedwater lines are not closed, then the corresponding valve closing signals shall be generated","""Steam pressures exceed the mean pressure by Δp” : x1 ; “Emergency feedwater lines are closed” : x2 ; ""Valve closing signals are generated” : x3",G((x1 & !x2) -> x3),"```python
formulaToFind = Always(LImplies(LAnd(LOr(AtomicProposition(""x1""), AtomicProposition(""x1"")), LNot(AtomicProposition(""x2""))), AtomicProposition(""x3"")))
```",G((((x1 | x1) & !(x2)) -> x3))
gemini-1.5-pro,few_shot,"In the next moment in time, 'running' will be true and, at some time after that, 'terminated' will be true","""Running is true” :  x1 ; “Terminated is true” : x2",X(x1 & F(x2)),"```python
formulaToFind = LAnd(Next(AtomicProposition(""x1"")), Eventually(Next(AtomicProposition(""x2""))))
```",(X(x1) & F(X(x2)))
gemini-1.5-pro,few_shot,"If something is born, then it is living up until the point in time that it becomes dead","""Something is born” : x1 ; ""Something is living” : x2 ;  “Something is dead” : x3",G(x1 -> (x2 U x3)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x2""), AtomicProposition(""x3"")))
```",(x1 -> (x2 U x3))
gemini-1.5-pro,few_shot,"Whenever the document has been printed, the system will never try to print it","""The document is printed” : x1 ; ""We try to print a document” : x2",G(x1 -> G(!x2)),"```python
formulaToFind = Always(LImplies(x1, LNot(Eventually(x2))))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,"Eventually, it will stop trying to print the document","""We try to print a document” : x1",F(G(!x1)),"```python
formulaToFind = Eventually(LNot(AtomicProposition(""x1"")))
```",F(!(x1))
gemini-1.5-pro,few_shot,"It is always the case that, if either have_passport or have_ticket is false, then, in the next moment in time board_fight will also be false","""Have passport is true” : x1 ;  ""Have ticket is true” : x2 ; “Board flight is true” : x3",G((!x1 | !x2) -> X !x3),"```python
formulaToFind = Always(LImplies(LNot(LOr(AtomicProposition(""x1""), AtomicProposition(""x2""))), Next(LNot(AtomicProposition(""x3"")))))
```",G((!((x1 | x2)) -> X(!(x3))))
gemini-1.5-pro,few_shot,"Whenever we try to print a document then, at the next moment in time, either the document will be printed or we again try to print it","""The document is printed” : x1 ; ""We try to print a document” : x2",G(x2 -> X(x1 | x2)),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x2""), Next(LOr(AtomicProposition(""x1""), AtomicProposition(""x2"")))))
```",G((x2 -> X((x1 | x2))))
gemini-1.5-pro,few_shot,Whenever we try to print a document then at some future moment we will not try to print it,"""We try to print a document” : x1",G (x1 -> F !x1),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), Eventually(LNot(AtomicProposition(""x1"")))))
```",G((x1 -> F(!(x1))))
gemini-1.5-pro,few_shot,"If it is Tuesday and we are in Liverpool, then it is raining","""It is Tuesday” : x1 ; ”We are in Liverpool” : x2 ; ""It is raining” : x3",G((x1 & x2) -> x3),"```python
formulaToFind = LImplies(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")), AtomicProposition(""x3""))
```",((x1 & x2) -> x3)
gemini-1.5-pro,few_shot,"If a message is sent to a receiver, then the message will eventually be received","""A message is sent” : x1; ”The message is received” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,few_shot,"If it is Tuesday, then it will continue raining while we remain in Liverpool","""It is Tuesday” : x1 ; ”We are in Liverpool” : x2 ; ""It is raining” : x3",G(x1 -> (x3 U !x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Until(AtomicProposition(""x3""), LNot(AtomicProposition(""x2""))))
```",(x1 -> (x3 U !(x2)))
gemini-1.5-pro,few_shot,"Eventually, printing will be allowed for some process","""Printing is allowed” : x1",F(x1),"```python
formulaToFind = Eventually(AtomicProposition(""x1""))
```",F(x1)
gemini-1.5-pro,few_shot,Printing for processes 'a' and 'b' can never occur simultaneously,"""Process a is printing” : x1 ;  ""Process b is printing” : x2",G!(x1 & x2),"```python
formulaToFind = Always(LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",G(!((x1 & x2)))
gemini-1.5-pro,few_shot,"If a process makes a print request infinitely often, then printing for that process will occur infinitely often","""A process makes a print request” : x1 ; ""Printing for that process occurs” : x2",G(F(x1))-> G(F(x2)),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) -> G(F(x2)))
gemini-1.5-pro,few_shot,If it is always dark then it is not the case that it is sometimes light,"""It is dark” : x1 ; ""It is light” : x2",G(x1 -> !F(x2)),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), LNot(Eventually(AtomicProposition(""x2""))))
```",(G(x1) -> !(F(x2)))
gemini-1.5-pro,few_shot,"If, from the beginning, the sky is always pink, then the sky will be pink whenever it is examined in the future.","""The sky is pink” : x1 ; ""The sky is examined” : x2",G(x1 -> G (x2 -> x1),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Always(LImplies(AtomicProposition(""x2""), AtomicProposition(""x1""))))
```",(G(x1) -> G((x2 -> x1)))
gemini-1.5-pro,few_shot,"If it is always the case that when it rains it pours then, if it always rains, it always pours.","""It rains” : x1 ; ”It pours” : x2",G(x1 -> x2) -> (G(x1) -> G(x2)),"```python
formulaToFind = LImplies(Always(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))), LImplies(Always(AtomicProposition(""x1"")), Always(AtomicProposition(""x2""))))
```",(G((x1 -> x2)) -> (G(x1) -> G(x2)))
gemini-1.5-pro,few_shot,"If, whenever I am happy, I will certainly be happy on the next day, then, if I am happy now, then I will always be happy in the future.","""I am happy” : x1",G (x1 -> X(x1)) -> (x1 -> G(x1)),"```python
formulaToFind = LImplies(LImplies(Always(LImplies(AtomicProposition(""x1""), Next(AtomicProposition(""x1"")))), LImplies(AtomicProposition(""x1""), Always(AtomicProposition(""x1"")))), Literal(""True""))
```",((G((x1 -> X(x1))) -> (x1 -> G(x1))) -> True)
gemini-1.5-pro,few_shot,"tomorrow I will be both happy and hungry if, and only if, both tomorrow I will be happy and tomorrow I will hungry.","""I am happy” : x1 ; ""I am hungry” : x2",X(x1 & x2) <-> (X(x1) & X(x2)),"```python
formulaToFind = LEquiv(LAnd(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))), LAnd(Next(AtomicProposition(""x1"")), Next(AtomicProposition(""x2""))))
```",((X(x1) & X(x2)) <-> (X(x1) & X(x2)))
gemini-1.5-pro,few_shot,"If we attempt something infinitely often, then we will succeed at least once","""We attempt something” : x1 ; ""We succeed” : x2",G(F(x1 -> F(x2))),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Eventually(AtomicProposition(""x2"")))
```",(G(F(x1)) -> F(x2))
gemini-1.5-pro,few_shot,"If I am sleeping from now up until the time the alarm goes off and continue sleeping up until my doorbell rings, then I am sleeping from now up until the time my doorbell rings","“I am sleeping” : x1 ; ""The alarm goes off” : x2 ; ”The doorbell rings” : x3",((x1 U x2) & (x1 U x3)) -> (x1 U x3),"```python
formulaToFind = LImplies(LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")), Until(AtomicProposition(""x1""), AtomicProposition(""x3""))), Until(AtomicProposition(""x1""), AtomicProposition(""x3"")))
```",(((x1 U x2) & (x1 U x3)) -> (x1 U x3))
gemini-1.5-pro,few_shot,"If we attempt something continuously, then we will succeed infinitely often","""We attempt something” : x1 ; ""We succeed” : x2",G(x1-> G(F(x2))),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Always(Eventually(AtomicProposition(""x2""))))
```",(G(x1) -> G(F(x2)))
gemini-1.5-pro,few_shot,"If we attempt something infinitely often, then we will succeed infinitely often","""We attempt something” : x1 ; ""We succeed” : x2",G(F(x1)) -> G(F(x2)),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) -> G(F(x2)))
gemini-1.5-pro,few_shot,"If we attempt something continuously, then we will succeed at least once","""We attempt something” : x1 ; ""We succeed” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(Always(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2"")))
```",(G(x1) -> F(x2))
gemini-1.5-pro,few_shot,"If input, then eventually output","""Input occurs” : x1 ; ""Output occurs” : x2",G(x1 -> F(x2)),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), Eventually(AtomicProposition(""x2"")))
```",(x1 -> F(x2))
gemini-1.5-pro,few_shot,It never happens that a train is arriving and the bar is up,"""A train is arriving” : x1; ""The bar is up” : x2",G(!(x1 & x2)),"```python
formulaToFind = LNot(Eventually(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",!(F((x1 & x2)))
gemini-1.5-pro,few_shot,Infinitely often send,"""Send occurs” : x1;",G(F(x1)),"```python
formulaToFind = Always(Eventually(AtomicProposition(""x1"")))
```",G(F(x1))
gemini-1.5-pro,few_shot,The device is not working if you don’t first repair it,"""The device is working” : x1; ""The device is repaired” : x2",G (!x2 -> !x1),"```python
formulaToFind = LImplies(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1"")))
```",(!(x2) -> !(x1))
gemini-1.5-pro,few_shot,Infinitely often send implies infinitely often recv.,"""Send occurs” : x1; ""Receive occurs” : x2",G(F(x1)) -> G(F(x2)),"```python
formulaToFind = LImplies(Always(Eventually(AtomicProposition(""x1""))), Always(Eventually(AtomicProposition(""x2""))))
```",(G(F(x1)) -> G(F(x2)))
gemini-1.5-pro,few_shot,"I'll have a second cup, so I'll die before noon if I don't.","""I have a second cup” : x1 ; ""I die before noon” : x2",x1 -> (!x1 -> x2),"```python
formulaToFind = LImplies(AtomicProposition(""x1""), LOr(LNot(AtomicProposition(""x2"")), Eventually(AtomicProposition(""x2""))))
```",(x1 -> (!(x2) | F(x2)))
gemini-1.5-pro,few_shot,"I can't die before noon, for it's false that if I don't have a second cup I'll die before noon.","""I have a second cup” : x1 ; ""I die before noon” : x2",!x2 & !(!x1 -> x2),"```python
formulaToFind = LNot(LImplies(LNot(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2""))))
```",!((!(x1) -> F(x2)))
gemini-1.5-pro,few_shot,Any time Min is home is a time Henry is home.,"""Min is home” : x1 ;  ""Henry is home” :  x2",G (x1 -> x2),"```python
formulaToFind = Always(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```",G((x1 -> x2))
gemini-1.5-pro,few_shot,"If Oswald didn't kill Kennedy, someone else did.","""Oswald killed Kennedy” : x1 ; ""Someone else killed Kennedy” : x2",!x1 -> x2,"```python
formulaToFind = LImplies(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))
```",(!(x1) -> x2)
gemini-1.5-pro,few_shot,"If Oswald hadn't killed Kennedy, someone else would have.","""Oswald killed Kennedy” : x1 ; ""Someone else killed Kennedy” : x2",!x1 -> x2,"```python
formulaToFind = LImplies(LNot(AtomicProposition(""x1"")), Eventually(AtomicProposition(""x2"")))
```",(!(x1) -> F(x2))
gemini-1.5-pro,few_shot,If Min is home then Henry is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,Only if Henry is home is Min home.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,If Min is home now then Henry is home now.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,Min is home only if Henry is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,"If Min works on board that leaky tub, she's underpaid.","""Min works on board that leaky tub” : x1 ; ”Min is underpaid” : x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,"It's false that if Min is home, she's on board, because if she's home, she's not on board.","""Min is home” : x1 ;  ""Min is on board” : x2",!(x1 -> x2) & (x1 -> !x2),"```python
formulaToFind = LNot(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```",!((x1 -> x2))
gemini-1.5-pro,few_shot,Henry is home if Min is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,"If Min is home, Henry is.","""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,Both Min and Henry are home given that at least one is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",(x1 ∨ x2) -> (x1 ∧ x2),"```python
formulaToFind = LImplies(LOr(AtomicProposition(""x1""), AtomicProposition(""x2"")), LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```",((x1 | x2) -> (x1 & x2))
gemini-1.5-pro,few_shot,"Look, we know that Min is on board if Henry is home. Then she has to be on board if she's home, because Henry's home if she is.","""Min is home” : x1 ;  ""Min is on board” : x2 ; ""Henry is home” : x3",(X3 -> x2) & (x1 -> x3) -> (x1 -> x2),"```python
formulaToFind = LImplies(LImplies(x3, x2), LImplies(x1, LEquiv(x3, x1)))
```",Error: Could not extract formula from response
gemini-1.5-pro,few_shot,Min is home given that Henry is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x2 -> x1,"```python
formulaToFind = LImplies(AtomicProposition(""x2""), AtomicProposition(""x1""))
```",(x2 -> x1)
gemini-1.5-pro,few_shot,Henry is home given that Min is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,"Min's home if Henry is, but he isn't, so she isn't.","""Min is home” : x1 ;  ""Henry is home” :  x2",(x2 -> x1) & !x2 -> !x1,"```python
formulaToFind = LAnd(LImplies(AtomicProposition(""x2""), AtomicProposition(""x1"")), LAnd(LNot(AtomicProposition(""x2"")), LNot(AtomicProposition(""x1""))))
```",((x2 -> x1) & (!(x2) & !(x1)))
gemini-1.5-pro,few_shot,Max is home if and only if Claire is at the library,"""Max is home” : x1; ""Claire is at the library” : x2",x1 <-> x2,"```python
formulaToFind = LEquiv(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 <-> x2)
gemini-1.5-pro,few_shot,"It's false that if Min is home, she's on board. Then if she's home, she's not on board.","""Min is home” : x1 ;  ""Min is on board” : x2",!(x1 -> x2) -> (x1 -> !x2),"```python
formulaToFind = LImplies(LNot(LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))), LImplies(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))))
```",(!((x1 -> x2)) -> (x1 -> !(x2)))
gemini-1.5-pro,few_shot,Either min is home or she and Hen are not both home ,"""Min is home” : x1 ;  ""Henry is home” :  x2",X1 | !(x1 & x2),"```python
formulaToFind = LOr(AtomicProposition(""x1""), LNot(LAnd(AtomicProposition(""x1""), AtomicProposition(""x2""))))
```",(x1 | !((x1 & x2)))
gemini-1.5-pro,few_shot,Claire is at the library unless Max is home,"""Max is home” : x1; ""Claire is at the library” : x2",x2 <-> !x1,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
gemini-1.5-pro,few_shot,Either min is home or she and Hen are both not home ,"""Min is home” : x1 ;  ""Henry is home” :  x2",X1 | (!x1 & !x2),"```python
formulaToFind = LOr(AtomicProposition(""x1""), LAnd(LNot(AtomicProposition(""x1"")), LNot(AtomicProposition(""x2""))))
```",(x1 | (!(x1) & !(x2)))
gemini-1.5-pro,few_shot,Both Min and Henry are home given that exactly one is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",((x1 & !x2) | (!x1 & x2)) -> (x1 & x2),"```python
formulaToFind = LImplies(LOr(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))), LAnd(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```",(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 & x2))
gemini-1.5-pro,few_shot,Exactly one in home given that at least one is.,"""Min is home” : x1 ;  ""Henry is home” :  x2",(x1 | x2) -> ((x1 & !x2) | (!x1 & x2)),"```python
formulaToFind = LImplies(LOr(LAnd(AtomicProposition(""x1""), LNot(AtomicProposition(""x2""))), LAnd(LNot(AtomicProposition(""x1"")), AtomicProposition(""x2""))), LOr(AtomicProposition(""x1""), AtomicProposition(""x2"")))
```",(((x1 & !(x2)) | (!(x1) & x2)) -> (x1 | x2))
gemini-1.5-pro,few_shot,If Claire gave Folly to Max at 2:03 then Folly belonged to her at 2:00 and to him at 2:05.,"""Folly belonged to Claire at 2:00” :  x1 ; ""Claire gave Folly to Max at 2:03” : x2 ; ""Folly belonged to Max at 2:05” :  x3",x2 -> (x1 & x3),"```python
formulaToFind = LImplies(AtomicProposition(""x2""), LAnd(AtomicProposition(""x1""), Next(Next(Next(AtomicProposition(""x3""))))))
```",(x2 -> (x1 & X(X(X(x3)))))
gemini-1.5-pro,few_shot,"Max fed Folly at 2:00 pm, but if he gave her to Claire then, Folly was not hungry five minutes later.","""Max fed Folly at 2:00 pm” :  x1 ; ""Max gave Folly to Claire” : x2 ; ""Folly was not hungry at 2:05 pm” : x3",x1 ∧ (x2 -> !x3),"```python
formulaToFind = LAnd(AtomicProposition(""x1""), LImplies(AtomicProposition(""x2""), Next(AtomicProposition(""x3""))))
```",(x1 & (x2 -> X(x3)))
gemini-1.5-pro,few_shot,"If Abe can fool Stephen, surely he can fool Ulysses.","""Abe can fool Stephen” :  x1 ; ""Abe can fool Ulysses” :  x2",x1 -> x2,"```python
formulaToFind = LImplies(AtomicProposition(""x1""), AtomicProposition(""x2""))
```",(x1 -> x2)
